X11005	X24008	X36001	X04007	X24018	X11002	X03002	X20005	X56007	X28006	X16002	X24001	X09008	X28024	X26003	X12007	X43004	X16007	X65003	X19005	X01007	X08018	X15006	X33005	X10005	X37001	X19017	X28021	X43007	X09017	X22011	X27003	X26009	X64001	X36002	X24017	X06002	X12019	X28044	X63001	X28032	X28008	X16004	X01010	X08001	X15001	X15005	X28003	X28042	X08012	X04006	X31011	X28043	X43012	X49004	X28023	X16009	X31007	X28047	X84004	X62003	X20002	X48001	X25003	X01003	X28035
SEL1L3	0.662173968795586	0.517708963398758	0.509068709982938	0.478489353347716	0.808408923582021	0.530632393193464	0.50514677036403	0.527164165851218	0.524961749461965	0.550100635535861	0.544256332418329	0.621130069183383	0.562185454529215	0.496337567823096	0.612238887815179	0.586875511476467	0.509347326718845	0.466423243070363	0.497410402975923	0.576275210502005	0.556718236528454	0.526413896786602	0.496915617328015	0.488451197536334	0.519642470801928	0.515157902806238	0.520263386625474	0.693555139935591	0.478396502530627	0.643586127131293	0.900156796917697	0.514159084687836	0.535640351209184	0.621898244354599	0.692606544980203	0.486882655838269	0.51064074451381	0.774241973878306	0.45109597678659	0.81943050187691	0.669054823095885	0.540637201170632	0.503181897522023	0.573217399637059	0.59825747082504	0.500811902638129	0.524868137442549	0.669302965531593	0.509608404693891	0.724015326852621	0.531856347400082	0.521534871682033	0.484026291662309	0.484766919082264	0.487505451774658	0.492170342292232	0.533949311670362	0.609880285656134	0.629995729177524	0.541568972206761	0.660096692815231	0.476778237151379	0.478346275165834	0.740357992249401	0.49848644015981	0.484967867921901
MDH1	0.935834003955752	0.909645963138254	0.997877853416509	1.01373598346126	0.904027495058639	1.00999728117024	0.952454520289588	1.00884192270641	1.00220503818862	0.984868028846839	1.0423641345018	1.00696769461547	0.977953065232384	0.995182838256566	1.0315924072017	0.941925769262657	0.959740994514571	1.06195692130741	1.05714407768056	0.959932609168995	0.981588658638339	0.995783878427532	0.987434982467484	0.927615321394982	0.962714553168341	1.00915194877638	0.984886332773707	0.943179919169246	0.988231676282082	0.94338315901004	0.940023695777086	1.02116283367487	0.902523481135126	0.962237593645853	0.943247875545194	0.889516865648878	0.889539867592797	1.014728712146	0.991613812165955	0.952324159904483	1.06409232109143	1.02874436329443	0.963599372587397	0.899668064861086	0.990652862031639	0.921715866032041	0.998263010710887	0.980609272245259	1.01766183959207	0.964683704881011	0.880118023099255	1.03801629018957	1.01547566349465	0.978075404192139	1.0370428390864	1.0169169129628	0.8675498898201	1.01519757887297	1.02432880460959	1.0472474098079	0.963247908582656	0.923156012436393	0.957469612953909	0.916834968587018	1.02228914769125	0.999276190626827
RLN2	0.489822815996231	0.551369913818203	0.473989361056893	0.458812386121111	0.437702449259134	0.544996098716312	0.483036098651509	0.482447198973853	0.53714534199381	0.649884537633412	0.586344497980311	0.476198354162848	0.494897291229304	0.495495186365145	0.460224082115479	0.440206916028861	0.447573914926305	0.475426606042543	0.451177045973815	0.456054217150462	0.443149688128591	0.518659080361765	0.495730269164616	0.464925451613668	0.578590463442858	0.481332352044299	0.489497656588172	0.473442577021654	0.482435988686337	0.486771573507549	0.457645633975956	0.489471843650381	0.541874412557539	0.493464226409828	0.457555563524089	0.502510255901828	0.480905572571386	0.495648495353727	0.488637305822417	0.633304465662573	0.462091075735464	0.564595452331191	0.544913267412312	0.505240002959978	0.468919956171891	0.457106945855223	0.443609608118914	0.458223703858073	0.474879758169175	0.487643831475958	0.522174342928806	0.457507028767922	0.453174878971389	0.469842928052501	0.502331355887147	0.458462650041233	0.48483731384617	0.566901485779992	0.472142486000265	0.429119732477369	0.472886167105144	0.449591925055311	0.471651007489974	0.479548772183231	0.448642848782663	0.473590413781935
TUBB3	0.794800194163664	0.867308501968147	1.00156139125231	0.834623490219912	0.886293795803788	0.78654284155485	0.897655786490303	0.838428012019857	0.842216658412201	0.819681113731624	0.856547037969482	0.873807629921785	0.918721566813197	0.880114459511277	0.831808642761461	0.872205109288695	0.833265717642937	0.904651303246221	0.881777261314373	0.936669478660664	0.965060250320983	0.890470634871171	0.911738941960298	0.887805913654784	0.845093507231647	0.924605831213985	0.847846372436656	0.870458410353572	0.85398031592005	0.832413833858614	0.866244562550128	0.861388134603912	0.827685434799966	0.846767211247703	0.912027137022118	0.963899665135363	0.94525484347645	0.876128624209531	0.854337611442423	0.881117794999628	0.827767420702436	0.844783219034969	0.918213726726184	0.871329005192636	0.848418929785363	0.895422710993983	0.876987113695876	0.910775305351831	0.825516681137476	0.890874104727598	0.919489603755514	0.867591307398296	0.8129209195703	0.830648305727876	0.905237538921497	0.859409748551952	0.88853706593246	0.805800487026354	0.876079272108251	0.846261436173738	0.893779490984925	0.892926675324977	0.922350284220462	0.830904428225615	0.842379416154546	0.906390965254277
EIF1	1.02421702442214	1.05462982457756	1.01320677087408	1.04541394242257	1.00901024403146	1.01495924955699	1.09672962799237	0.978446210174409	0.94473927528334	0.977214810446076	0.993768229835467	1.06108038884931	1.05860773138018	1.02512353338904	1.02498537674431	1.0472321982036	0.986272191421285	0.967273276994524	0.936049425672398	1.07099636259934	0.954605442827529	0.969958213524273	1.00401788273522	1.05645887237623	1.09797280455284	0.971417695435354	1.08663706362923	0.950168082913267	1.03783497692545	1.05336624491171	1.08509473513294	0.921960480957724	0.968978644641893	1.03742513468514	1.11072785389584	1.04336484734473	1.10939349137835	1.04796888970301	0.952815615061393	1.07588745046581	0.877561161856749	0.979377806495221	0.996433339791317	1.04651784930893	1.07518136194391	1.06377497832193	1.05601908190085	0.897023272166598	0.973804153671497	1.0744248945335	1.04093158157584	1.05880179234337	0.967398777933563	0.951910465158526	1.02146650262341	0.964092030926183	0.996665062848323	1.0156141554714	0.978245049329756	1.05939860441615	1.04254587788534	1.10018094967106	1.01425991399286	1.04054008083096	1.0174887747002	0.87828205947912
TONSL	0.592569910075392	0.523032645803501	0.596596482518706	0.574284650850128	0.588883595658884	0.501116321342656	0.589689496608962	0.595979652395363	0.594191763577518	0.478519211591849	0.578946463080708	0.558496130279531	0.628979870889727	0.575991219152021	0.556717420859518	0.60226542191565	0.605739738086259	0.556306513876319	0.579735544978188	0.599060337988838	0.600469211093038	0.573838304693271	0.646171176488994	0.633336918425124	0.474505063341696	0.575229684792687	0.595310605156355	0.58853119666645	0.549476397453007	0.586134311111829	0.57816922525773	0.577742432420155	0.646690569750818	0.613994686134582	0.596542298981785	0.634671378664068	0.602736337240012	0.596632262442466	0.604767742732485	0.512827479330048	0.60502659536647	0.508605962334509	0.623310458763004	0.635596852644358	0.580143116738031	0.597607245524609	0.619704992907851	0.579235792442695	0.571000536501663	0.591127459956452	0.651916816508164	0.601215670253998	0.61109359203047	0.606595325866494	0.557540008393107	0.588662601605178	0.649379917271794	0.557417794114538	0.587185750303773	0.563828576106422	0.587013748493104	0.604422960578456	0.590239270409822	0.618122578145061	0.591572365463157	0.629247074612908
LRP3	0.744867324158171	0.766595406522806	0.78943175098297	0.770440824660949	0.804029516032126	0.723015751493115	0.798789087935213	0.77196711955172	0.813580597724396	0.681396982296178	0.775943211398353	0.782808821502666	0.830352160014195	0.793155749656961	0.765434058210604	0.772772543677005	0.787629862277947	0.767607048803925	0.775436146873183	0.79803400388501	0.786097588861546	0.778367224687137	0.846485850163036	0.849323696115967	0.630765846389897	0.784319081906053	0.756055488987813	0.826277145448856	0.774226782462807	0.789460501258146	0.772898908119188	0.784880818100162	0.845196557631559	0.762055167275608	0.814460913137442	0.90167060323832	0.776384202623298	0.792973531402186	0.809448187268512	0.737531193093772	0.757640813333291	0.715851299830378	0.788666863677264	0.831555472744399	0.777879393025994	0.795436048177166	0.835189120398244	0.778718622979253	0.771204536692074	0.77913961649328	0.872531957110141	0.783442342168748	0.786411420499065	0.779882854711228	0.758911520816148	0.799515885467776	0.878064156220651	0.769280079371867	0.786963065145733	0.741822211284822	0.799172749656486	0.813570690574548	0.78883123200887	0.781949320210425	0.784575072960226	0.86523183214052
MTMR6	1.01088738989365	1.00522948259552	0.916045720149179	0.998599352366468	0.862935596851086	0.912061517394593	0.98227363752183	0.90952768180794	0.900883811932496	0.828717264241483	0.888677547948693	1.01254771016752	0.757993602179239	0.843967994959594	0.897015827605034	1.01338463580135	0.845352670014934	0.92964747819363	0.841637767449476	0.948773058605863	0.913566406240242	0.974228167840905	0.894726804646403	0.893620162938301	1.00467493487024	0.846050520745715	1.0835590274576	0.804504714497519	1.00654992356802	0.839199558529186	1.00781789092597	0.823860787520797	0.805871720369909	1.00319456600587	0.955546738875508	0.863407429165937	1.01442459055164	0.952599258432064	0.836693054448682	1.01430876207569	0.997243146165648	0.84492766317547	0.875841713018457	0.879942116655577	0.963904526578695	1.00631751191469	0.93033559734684	0.828732275092676	0.921504109628091	0.972925559360536	0.895056410465897	0.868505600139218	0.895701607537265	0.810998242250174	1.02465275193425	0.814558906701156	0.900701102513082	0.846287120534937	0.913435089481314	1.0376623727122	0.949410670479297	0.932462484201664	0.837996816217247	0.978423595892956	0.904645217937768	0.740328612533836
RPL13P5	0.644199875740634	0.616009319282898	0.669172259281627	0.624833015906124	0.655987262964753	0.615082537980022	0.664363998086242	0.643309152672636	0.652755195285433	0.595829176176318	0.628073977812281	0.623821255880362	0.657430906715794	0.639526466694974	0.62250693508283	0.64034258528886	0.664756676179696	0.644609250220242	0.628373620849045	0.648200686078888	0.715532195720618	0.628472188215197	0.7196779572475	0.689506476273257	0.591551553522865	0.658543354370504	0.707135891819088	0.641835035253975	0.644703058881139	0.644622794699025	0.6513711166514	0.663320817246863	0.692941998352542	0.610384378719937	0.623094795670941	0.696549482308492	0.643208485028728	0.659804596630397	0.650302016029392	0.608824993338213	0.617460886065464	0.617292678648581	0.639836906188986	0.670365442436115	0.649507098912411	0.639434529608332	0.652432581122868	0.651369158779309	0.62691999254136	0.630723516061629	0.671287497760113	0.62294396986636	0.615360102915274	0.631794355897021	0.657630077705254	0.650082732375553	0.673310715060778	0.629459964911165	0.631153101236154	0.579923118249227	0.636065904364868	0.669032246325563	0.635672358457424	0.657699649740655	0.642917397906168	0.657264796420012
STAU2	0.578397332240149	0.546402740632901	0.53656733260991	0.524086780793122	0.527869459052535	0.67303034409541	0.581891083724304	0.80466746882655	0.701593193482471	0.608871906122545	0.662694491953212	0.511964873908435	0.516803039753869	0.549417958229567	0.628398656379525	0.54018097053781	0.535825789046021	0.653480552283022	0.633466420776189	0.502752720725605	0.70284154420735	0.534165705816159	0.54825610758549	0.52157338567582	0.578062399643748	0.686539829762681	0.604185968697521	0.539242506052267	0.517205610535499	0.548170875483791	0.531626592275102	0.58132101746398	0.554819427272954	0.504209281703016	0.531199609158348	0.538496310469906	0.487914405597105	0.527456000463862	0.565050473035819	0.547268973493086	0.724660499465792	0.743585707359347	0.55077002930024	0.542041254393534	0.552459637692206	0.464689937688801	0.524257277815107	0.627591736286519	0.648652872467386	0.516343412984037	0.526496574236039	0.542059664730527	0.58564960517833	0.577701188633205	0.697494296341214	0.558117651939686	0.514684238990227	0.575359613260634	0.596404980310122	0.647363111129282	0.535481174813797	0.491231776553211	0.508243240330704	0.592408760132968	0.668556137406279	0.576863086264582
